timestamp,city,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime,hour,day,month,aqi_change_rate
1723518000,Rawalpindi,3,2056.12,25.26,52.09,20.56,9.78,49.28,56.69,11.78,2024-08-13 03:00:00,3,13,8,0.0
1723521600,Rawalpindi,4,1762.39,12.18,51.41,74.39,18.12,53.98,58.97,10.39,2024-08-13 04:00:00,4,13,8,1.0
1723525200,Rawalpindi,4,1668.93,7.26,45.93,138.76,25.75,65.41,70.0,10.51,2024-08-13 05:00:00,5,13,8,0.0
1723528800,Rawalpindi,5,1588.82,3.58,36.33,234.6,32.42,87.99,92.42,10.39,2024-08-13 06:00:00,6,13,8,1.0
1723532400,Rawalpindi,5,907.9,1.01,12.0,237.46,28.37,68.27,70.33,4.75,2024-08-13 07:00:00,7,13,8,0.0
1723536000,Rawalpindi,5,707.63,0.66,7.37,214.58,18.12,52.25,53.61,3.61,2024-08-13 08:00:00,8,13,8,0.0
1723539600,Rawalpindi,5,680.92,0.68,7.54,205.99,15.5,47.13,48.4,3.86,2024-08-13 09:00:00,9,13,8,0.0
1723543200,Rawalpindi,5,674.25,0.72,8.14,197.41,13.59,44.21,45.52,4.37,2024-08-13 10:00:00,10,13,8,0.0
1723546800,Rawalpindi,5,707.63,0.85,10.71,188.83,13.83,44.09,45.53,5.13,2024-08-13 11:00:00,11,13,8,0.0
1723550400,Rawalpindi,4,781.06,0.96,16.62,175.95,15.5,44.98,46.59,5.89,2024-08-13 12:00:00,12,13,8,-1.0
1723554000,Rawalpindi,4,1895.9,4.41,87.05,85.12,16.21,53.07,56.15,11.4,2024-08-13 13:00:00,13,13,8,0.0
1723557600,Rawalpindi,4,3631.59,26.82,153.54,3.98,17.17,67.48,73.47,19.76,2024-08-13 14:00:00,14,13,8,0.0
1723561200,Rawalpindi,5,4966.74,67.06,164.51,0.0,19.07,82.11,91.52,28.88,2024-08-13 15:00:00,15,13,8,1.0
1723564800,Rawalpindi,5,5714.42,82.25,169.99,0.0,20.03,93.01,105.8,35.46,2024-08-13 16:00:00,16,13,8,0.0
1723568400,Rawalpindi,5,5180.36,70.63,141.2,0.0,14.31,93.08,107.97,29.89,2024-08-13 17:00:00,17,13,8,0.0
1723572000,Rawalpindi,5,3952.03,49.17,100.08,0.0,8.82,85.79,100.57,21.53,2024-08-13 18:00:00,18,13,8,0.0
1723575600,Rawalpindi,5,2429.96,17.66,69.92,0.19,5.3,75.11,86.72,14.44,2024-08-13 19:00:00,19,13,8,0.0
1723579200,Rawalpindi,4,1588.82,1.06,49.35,10.28,4.11,69.84,78.52,10.77,2024-08-13 20:00:00,20,13,8,-1.0
1723582800,Rawalpindi,4,1201.63,0.0,27.76,32.9,3.81,67.62,74.45,8.74,2024-08-13 21:00:00,21,13,8,0.0
1723586400,Rawalpindi,4,1001.36,0.0,16.96,49.35,3.81,65.39,70.86,7.6,2024-08-13 22:00:00,22,13,8,0.0
1723590000,Rawalpindi,4,894.55,0.0,11.31,63.66,3.87,64.11,68.46,6.9,2024-08-13 23:00:00,23,13,8,0.0
1723593600,Rawalpindi,4,847.82,0.0,8.74,76.53,3.99,62.78,66.25,6.59,2024-08-14 00:00:00,0,14,8,0.0
1723597200,Rawalpindi,4,847.82,0.0,8.91,90.12,4.83,60.64,63.48,6.33,2024-08-14 01:00:00,1,14,8,0.0
1723600800,Rawalpindi,4,988.01,0.14,17.82,87.26,6.68,60.04,62.9,6.71,2024-08-14 02:00:00,2,14,8,0.0
1723604400,Rawalpindi,4,1201.63,1.36,30.16,85.12,11.09,60.53,63.56,7.28,2024-08-14 03:00:00,3,14,8,0.0
1723608000,Rawalpindi,4,1041.41,1.49,23.65,115.87,17.88,52.87,55.58,6.4,2024-08-14 04:00:00,4,14,8,0.0
1723611600,Rawalpindi,4,988.01,1.45,20.05,131.61,20.03,50.67,53.48,6.59,2024-08-14 05:00:00,5,14,8,0.0
1723615200,Rawalpindi,4,1001.36,1.19,17.82,150.2,22.17,53.29,56.13,7.03,2024-08-14 06:00:00,6,14,8,0.0
1723618800,Rawalpindi,4,988.01,0.91,15.08,168.8,23.13,57.95,60.73,7.28,2024-08-14 07:00:00,7,14,8,0.0
1723622400,Rawalpindi,5,988.01,0.76,13.71,183.11,23.84,61.25,63.88,7.16,2024-08-14 08:00:00,8,14,8,1.0
1723626000,Rawalpindi,5,1001.36,0.71,13.71,191.69,25.03,61.64,64.12,6.78,2024-08-14 09:00:00,9,14,8,0.0
1723629600,Rawalpindi,5,1028.06,0.8,15.25,200.27,27.89,60.14,62.51,6.46,2024-08-14 10:00:00,10,14,8,0.0
1723633200,Rawalpindi,5,1068.12,1.03,19.19,208.85,31.47,58.69,60.94,6.27,2024-08-14 11:00:00,11,14,8,0.0
1723636800,Rawalpindi,5,1148.22,1.22,27.42,200.27,32.9,55.49,57.63,6.27,2024-08-14 12:00:00,12,14,8,0.0
1723640400,Rawalpindi,4,2216.34,3.02,95.96,117.3,30.28,61.4,64.73,11.15,2024-08-14 13:00:00,13,14,8,-1.0
1723644000,Rawalpindi,4,3578.19,7.26,169.99,15.56,24.8,74.25,80.01,17.48,2024-08-14 14:00:00,14,14,8,0.0
1723647600,Rawalpindi,5,3952.03,28.39,161.77,0.01,18.84,82.27,90.25,21.03,2024-08-14 15:00:00,15,14,8,1.0
1723651200,Rawalpindi,5,4165.65,40.23,142.57,0.0,15.5,89.24,99.18,22.04,2024-08-14 16:00:00,16,14,8,0.0
1723654800,Rawalpindi,5,4486.08,42.92,134.35,0.0,14.19,97.68,109.46,19.76,2024-08-14 17:00:00,17,14,8,0.0
1723658400,Rawalpindi,5,4753.11,42.47,127.49,0.0,12.28,103.63,116.64,16.72,2024-08-14 18:00:00,18,14,8,0.0
1723662000,Rawalpindi,5,4272.46,34.87,106.93,0.0,9.66,97.63,110.0,12.54,2024-08-14 19:00:00,19,14,8,0.0
1723665600,Rawalpindi,5,3097.53,18.33,74.03,0.04,7.33,81.21,91.42,9.12,2024-08-14 20:00:00,20,14,8,0.0
